上呼吸道感染,上呼吸道疾病,丘疹性荨麻疹,中耳炎,发热,变应性鼻炎,呕吐,呼吸道感染,咳嗽,哮喘,外伤证,头晕,头痛,急性上呼吸道感染,急性喉炎,急性扁桃体炎,手足口病,支气管炎,消化不良,湿疹,猩红热样红斑,疱疹性咽峡炎,皮炎,皮疹,结膜炎,肺炎,胃肠功能紊乱,腹泻,腹痛,荨麻疹,时间
20,None,None,3,1,None,4,30,5,2,44,3,11,1,None,8,None,18,8,5,None,6,8,None,3,3,None,None,25,4,20170801
38,None,2,4,15,None,2,7,7,2,44,8,14,None,1,8,None,20,3,6,None,6,5,1,8,14,None,None,29,1,20170802
11,None,None,2,5,None,2,29,12,1,40,17,10,None,None,5,None,20,5,11,None,9,3,None,2,10,None,None,39,2,20170803
13,None,3,3,3,None,2,15,18,1,37,8,9,1,None,6,1,24,8,10,None,6,5,None,2,7,None,None,31,2,20170804
38,None,2,None,2,None,2,14,13,None,59,9,6,None,None,7,None,23,4,2,None,14,2,2,3,5,None,None,34,3,20170805
25,None,None,3,13,None,1,25,7,1,63,12,5,None,1,4,None,24,3,7,None,3,2,None,4,7,None,1,37,1,20170806
34,None,2,6,15,None,5,13,8,2,41,8,10,None,1,10,None,29,1,7,None,4,7,1,4,11,None,None,42,7,20170807
19,None,2,1,3,None,3,21,11,3,31,11,5,1,1,9,None,24,2,4,None,4,7,1,6,4,None,None,41,None,20170808
7,None,2,3,4,None,3,31,8,1,55,13,10,2,None,5,None,27,9,1,None,6,4,None,9,7,None,None,45,1,20170809
7,None,None,4,12,None,1,15,7,2,53,12,5,None,None,11,1,26,6,8,None,5,6,1,3,8,None,1,36,2,20170810
22,None,None,1,9,None,2,19,7,3,42,5,15,None,None,2,None,31,1,9,None,3,4,1,5,12,None,None,41,1,20170811
41,None,None,5,11,None,None,20,4,None,58,14,2,1,None,5,None,23,8,4,None,2,1,None,5,4,None,5,21,None,20170812
25,None,1,1,5,None,None,13,7,None,35,9,2,None,2,6,None,24,7,8,None,8,2,2,5,5,None,None,29,4,20170813
19,None,2,4,8,None,None,10,10,2,59,10,9,3,None,10,None,26,2,12,None,1,9,None,8,15,None,None,39,None,20170814
20,None,None,3,14,None,1,25,14,None,44,10,13,1,None,9,1,26,1,8,None,1,4,1,4,10,None,None,36,2,20170815
16,None,2,1,13,None,4,30,11,3,34,24,7,None,None,8,None,25,7,3,None,4,2,None,6,17,None,None,31,1,20170816
12,None,None,1,5,None,3,20,9,2,49,5,5,1,1,4,None,33,7,10,None,8,6,1,6,13,None,None,44,4,20170817
29,None,1,None,7,None,None,6,13,None,49,13,6,None,None,5,None,23,2,5,None,1,7,None,8,12,None,None,32,2,20170818
20,None,1,2,9,None,3,22,10,1,50,6,12,1,None,2,None,21,4,2,None,3,2,2,4,12,None,1,26,5,20170819
12,None,2,3,6,None,2,18,14,2,40,7,3,None,None,4,None,18,4,6,None,1,6,None,1,6,None,None,42,5,20170820
16,None,2,5,14,None,5,22,9,7,34,11,11,1,1,4,None,35,6,23,None,2,9,2,8,14,1,None,48,3,20170821
13,None,4,6,5,None,1,29,8,2,43,10,7,1,3,7,None,24,7,6,None,6,11,None,11,9,None,None,41,5,20170822
21,None,None,None,4,None,2,27,11,2,34,8,15,None,1,5,None,38,2,9,None,2,6,1,4,9,None,None,35,1,20170823
19,None,1,2,11,None,None,31,7,2,31,12,4,1,None,10,None,24,13,7,None,6,1,None,11,11,None,None,19,3,20170824
8,None,1,2,13,None,5,14,11,3,39,7,11,None,None,8,None,34,11,11,None,1,9,1,3,23,1,1,29,1,20170825
35,None,None,2,3,None,1,1,15,2,49,11,3,None,1,4,None,29,1,7,None,1,2,None,5,15,None,None,20,2,20170826
20,None,1,4,6,None,5,29,2,1,46,6,None,None,1,3,None,17,2,4,None,4,2,1,6,15,None,None,26,3,20170827
25,None,None,2,9,None,1,11,18,1,30,6,10,None,3,5,1,28,1,12,None,1,5,None,7,23,None,None,25,2,20170828
10,None,2,1,7,None,2,15,12,1,38,11,6,None,None,8,None,27,6,7,None,2,9,3,8,19,None,1,24,3,20170829
14,None,1,5,11,None,3,28,8,3,35,10,5,None,1,7,None,31,6,5,None,None,6,1,5,16,None,1,21,1,20170830
5,None,2,3,6,None,None,27,10,None,21,18,11,None,1,5,None,38,6,8,None,1,5,None,5,19,None,None,26,2,20170831
34,None,1,None,10,None,1,7,21,2,31,15,1,None,None,1,None,22,9,7,None,2,7,None,7,16,None,None,25,2,20170901
11,None,3,None,6,None,1,24,4,1,30,9,4,None,None,3,None,23,5,5,None,4,2,1,5,13,None,None,25,1,20170902
27,None,2,2,7,None,None,8,10,1,61,11,4,None,None,4,None,23,None,7,None,None,4,1,1,11,None,None,20,3,20170903
24,None,None,6,5,None,3,16,9,4,37,16,5,None,None,4,None,30,1,11,None,None,4,1,10,19,None,2,27,None,20170904
16,None,1,1,10,None,3,20,10,1,22,4,8,None,None,3,None,30,5,9,None,3,6,None,6,15,None,None,21,1,20170905
13,None,1,4,6,None,None,17,7,4,36,6,2,2,None,4,None,34,3,13,None,None,3,None,5,12,4,None,22,1,20170906
10,None,2,6,5,None,2,10,22,5,59,13,3,None,1,2,None,29,4,13,None,None,3,1,5,12,None,None,27,1,20170907
17,None,1,3,7,None,16,6,23,4,37,13,6,None,None,7,None,22,2,5,None,2,2,2,10,15,None,None,25,1,20170908
5,None,3,4,7,None,3,25,18,1,23,9,7,None,1,5,None,34,3,1,None,None,1,None,5,8,None,None,19,1,20170909
31,None,2,2,6,None,None,3,11,1,51,5,8,None,None,2,None,28,5,10,None,2,5,None,6,13,1,None,15,None,20170910
23,None,1,2,11,None,2,5,15,3,35,10,6,None,None,3,None,41,1,9,None,None,5,None,3,20,None,None,28,1,20170911
13,None,3,3,7,None,None,31,12,3,37,9,13,None,2,3,None,37,4,12,None,1,3,1,6,18,1,None,33,5,20170912
5,None,2,None,11,None,2,31,14,2,37,13,7,None,2,3,None,24,5,6,None,2,8,1,5,10,None,None,21,1,20170913
14,None,None,1,12,None,None,15,21,4,38,9,6,3,1,6,3,28,3,6,None,6,1,2,5,21,1,None,18,4,20170914
10,None,2,1,6,None,None,19,20,3,40,7,5,1,1,2,1,45,5,10,None,5,7,None,6,20,1,None,29,None,20170915
22,None,1,2,6,None,None,7,10,None,27,15,5,None,1,2,None,28,5,7,None,4,1,None,3,10,None,1,15,2,20170916
30,None,None,None,18,None,None,2,10,None,29,13,4,None,None,3,4,20,4,2,None,2,6,None,4,13,3,None,11,1,20170917
7,None,2,5,8,None,None,26,15,5,35,18,6,None,1,3,None,38,5,9,None,5,4,None,4,20,None,None,25,1,20170918
26,None,2,1,4,None,2,17,7,4,48,14,13,None,None,11,None,26,2,15,None,2,1,2,4,12,None,None,33,2,20170919
21,None,1,2,5,None,2,21,6,1,37,9,10,None,None,None,1,37,2,7,None,None,3,None,8,12,1,None,37,1,20170920
6,None,None,2,2,None,None,24,10,4,31,7,11,None,None,4,1,53,5,12,None,4,5,None,5,17,1,None,22,2,20170921
19,None,None,1,6,None,2,7,14,5,38,8,11,None,None,4,None,30,5,14,None,1,2,None,5,23,None,None,35,1,20170922
28,None,3,None,9,None,1,1,16,None,60,14,6,2,None,3,None,31,None,6,None,1,2,None,5,3,1,2,16,None,20170923
8,None,3,None,6,None,4,28,2,None,43,10,3,1,1,5,None,28,6,8,None,4,1,None,3,10,None,None,19,3,20170924
22,None,None,1,3,None,2,15,10,7,32,15,9,None,2,4,None,30,2,12,None,None,5,None,4,26,None,None,31,3,20170925
25,None,1,3,2,None,1,3,8,2,41,12,4,None,None,3,2,23,4,11,None,1,5,None,8,8,None,None,24,2,20170926
3,None,1,1,11,None,None,44,9,3,45,15,3,None,None,5,None,28,6,11,None,1,9,None,3,13,1,None,23,1,20170927
16,None,1,2,8,None,None,16,21,4,29,11,9,None,1,5,None,34,6,11,None,1,2,1,3,17,None,None,19,4,20170928
35,None,1,1,2,None,2,1,17,3,19,5,8,None,None,5,None,33,2,9,None,1,7,None,4,10,1,None,30,None,20170929
19,None,None,1,4,None,3,22,14,1,40,3,4,1,1,1,None,32,6,9,None,1,3,2,5,9,1,None,29,None,20170930
20,None,2,None,None,None,3,5,14,1,40,6,5,None,None,1,1,19,1,3,None,None,2,None,3,12,None,None,32,1,20171001
23,None,1,2,4,None,3,8,5,1,58,5,1,None,2,2,1,20,5,4,None,3,1,1,2,7,2,None,19,1,20171002
11,None,1,1,7,None,2,21,9,None,35,3,8,None,None,3,None,11,2,4,None,2,1,None,2,16,None,None,20,2,20171003
11,None,1,None,5,None,1,8,3,1,16,8,1,None,1,2,None,21,2,2,None,None,None,None,2,20,None,None,19,None,20171004
6,None,2,1,3,None,1,15,6,None,24,10,7,None,1,6,1,28,1,5,None,1,3,1,None,20,3,None,16,None,20171005
6,None,1,1,1,None,3,16,5,None,40,3,4,None,None,None,None,21,2,7,None,None,3,None,3,19,1,None,25,None,20171006
25,None,3,None,2,None,2,1,9,1,23,5,11,None,1,2,None,24,None,8,None,None,1,None,2,18,None,None,15,1,20171007
18,None,4,1,8,None,None,None,2,None,26,7,3,None,1,4,None,29,2,5,None,2,None,None,5,8,2,None,17,1,20171008
12,None,3,3,6,None,1,12,11,1,37,17,11,None,None,4,None,47,3,4,None,1,1,None,4,29,1,1,28,3,20171009
17,None,4,1,2,None,1,3,4,1,21,8,10,1,2,7,None,24,None,8,None,2,None,None,2,17,1,None,23,2,20171010
12,None,2,2,None,None,None,9,6,1,31,14,4,None,None,4,None,28,3,10,None,None,4,None,8,7,4,1,19,1,20171011
7,None,3,None,2,None,1,15,20,1,38,10,13,None,1,5,None,29,3,4,None,None,4,None,4,4,2,None,22,4,20171012
16,None,1,1,3,None,3,6,17,3,31,8,12,1,1,7,None,24,2,7,None,1,3,1,3,15,None,None,19,5,20171013
31,None,4,1,2,None,2,None,12,2,41,6,7,5,None,2,None,22,1,6,None,None,3,None,3,7,2,2,23,None,20171014
8,None,None,1,1,None,1,14,5,None,34,10,4,None,None,1,None,20,3,3,None,None,None,1,5,6,None,None,15,3,20171015
14,None,1,4,2,None,2,19,16,None,29,16,3,None,None,4,None,39,4,10,None,1,8,None,4,28,None,None,17,1,20171016
21,None,2,2,5,None,None,5,15,5,38,10,9,1,None,2,1,28,4,6,None,4,7,1,3,9,3,None,22,1,20171017
13,None,None,3,2,None,3,20,7,5,40,17,9,None,1,4,None,29,4,7,None,None,3,None,5,22,1,None,26,None,20171018
3,None,3,4,2,None,2,10,21,2,19,8,10,None,None,8,None,33,4,8,None,None,2,1,1,14,1,None,19,2,20171019
17,None,1,2,1,None,2,1,10,5,32,10,13,None,None,3,None,28,1,6,None,2,3,None,2,20,2,None,26,1,20171020
11,None,1,2,2,None,2,25,11,None,43,11,7,None,None,3,None,37,4,12,None,1,6,None,5,21,2,1,23,1,20171021
30,None,2,2,5,None,None,5,8,None,31,10,7,1,None,4,None,29,3,4,None,2,1,None,4,19,None,None,17,1,20171022
17,None,2,4,8,None,1,18,21,5,31,13,11,2,None,2,None,33,2,13,None,1,7,None,None,13,2,None,27,1,20171023
12,None,None,1,4,None,None,29,11,4,35,9,7,1,None,3,None,34,4,5,None,1,3,None,2,16,1,None,30,1,20171024
25,None,None,2,2,None,4,19,10,1,32,7,11,1,None,5,None,46,6,7,None,1,7,None,3,25,None,None,21,1,20171025
15,None,2,3,4,None,None,18,29,2,28,15,7,None,1,3,None,41,2,7,None,None,4,None,3,14,1,None,17,5,20171026
11,None,None,1,4,None,1,33,10,4,37,10,7,2,1,3,None,50,5,16,None,2,4,1,9,19,None,None,36,3,20171027
55,None,2,None,3,None,2,1,9,1,24,12,5,None,None,2,1,29,4,1,None,None,1,None,2,23,None,None,20,1,20171028
26,None,None,1,3,None,5,1,4,None,54,8,2,None,1,2,None,26,3,6,None,1,3,None,2,10,6,None,19,None,20171029
9,None,1,None,4,None,3,28,11,1,46,17,11,None,3,5,None,50,4,11,None,2,3,None,None,27,None,None,28,2,20171030
22,None,3,8,1,None,3,20,9,None,45,8,13,None,None,3,1,39,4,6,None,1,3,None,4,24,None,None,17,1,20171031
14,78,16,32,136,15,9,36,153,38,35,8,24,99,19,13,21,339,18,80,3,36,10,12,21,203,14,47,61,20,20171101
10,104,11,46,150,None,24,34,124,39,39,12,23,135,29,14,33,402,13,67,None,36,8,28,24,191,9,44,65,16,20171102
32,88,24,45,133,8,12,4,114,28,44,3,20,130,30,15,42,377,9,62,1,41,9,18,23,216,18,37,74,12,20171103
44,100,16,40,178,29,12,6,192,47,34,12,14,89,18,13,12,369,20,57,None,32,19,56,16,216,15,46,74,18,20171104
22,69,17,38,188,12,14,19,167,44,39,6,15,100,28,15,42,424,24,87,1,39,15,32,17,226,23,51,47,24,20171105
43,87,13,30,202,10,15,16,125,35,39,13,25,108,20,14,25,434,15,86,4,40,19,44,17,243,16,57,62,10,20171106
26,49,14,56,182,17,26,14,165,30,33,11,25,120,16,14,44,449,19,59,None,49,16,39,32,252,25,47,57,21,20171107
40,54,16,35,191,35,31,17,160,42,55,16,29,111,19,16,44,448,21,56,4,35,25,45,16,261,21,54,60,17,20171108
4,47,21,41,236,1,45,26,145,29,32,10,16,88,14,13,34,451,11,43,3,34,23,41,21,241,24,41,54,17,20171109
25,73,14,42,233,6,43,13,133,34,44,7,29,90,18,15,32,404,13,60,5,29,10,29,11,253,22,60,72,17,20171110
16,63,25,53,217,15,46,27,169,58,38,9,24,102,15,13,30,461,18,69,4,38,10,36,20,266,28,42,65,21,20171111
36,65,11,51,229,9,44,27,161,62,30,3,14,88,19,15,28,460,15,48,3,40,14,17,21,251,25,66,57,24,20171112
24,80,12,43,251,13,47,33,184,36,38,13,25,97,17,17,31,461,18,93,10,41,14,19,30,252,14,57,73,15,20171113
8,75,8,59,272,3,66,34,170,42,42,9,25,83,24,23,37,428,7,70,6,27,12,16,21,265,27,72,67,17,20171114
31,65,13,40,259,18,43,23,174,42,36,14,17,116,24,10,37,373,20,70,6,31,17,24,18,271,16,72,80,18,20171115
14,98,7,50,270,2,43,17,157,21,33,17,23,103,29,17,26,354,20,46,5,29,18,19,26,297,17,70,61,21,20171116
13,67,6,65,229,3,75,29,135,26,25,13,10,101,23,20,28,394,32,38,7,22,14,24,24,273,35,81,69,21,20171117
30,68,12,50,249,13,54,18,153,53,38,6,12,110,12,17,23,384,11,78,3,30,16,34,30,254,27,63,53,19,20171118
42,53,9,51,259,9,42,27,149,40,31,9,14,125,16,25,26,400,13,72,2,37,17,26,21,261,30,68,62,10,20171119
36,57,10,46,301,12,54,14,172,36,38,14,20,120,12,19,26,386,17,88,2,28,11,21,30,270,31,84,71,19,20171120
10,54,5,62,302,3,74,37,170,39,42,14,18,111,18,42,19,436,23,72,1,34,12,22,32,293,49,90,65,13,20171121
34,71,9,37,343,13,72,10,152,57,29,14,20,84,20,20,24,403,18,68,6,34,18,15,28,271,31,92,65,17,20171122
20,73,9,53,334,2,55,13,135,24,33,9,14,87,21,24,30,419,16,52,5,31,12,17,23,313,22,104,83,15,20171123
32,66,8,54,335,2,54,5,166,26,32,7,18,77,20,19,12,386,18,49,6,24,9,18,26,282,32,95,89,13,20171124
15,97,13,55,283,18,59,33,190,59,35,8,12,102,21,18,15,419,16,79,5,23,9,32,24,272,37,104,75,16,20171125
42,74,8,54,350,3,77,10,194,57,46,7,15,119,15,15,11,414,14,65,6,19,12,32,22,272,42,95,50,15,20171126
57,68,6,39,345,11,61,11,176,31,52,7,24,108,18,26,23,418,22,72,7,18,15,15,27,329,33,97,83,13,20171127
45,73,8,42,399,4,65,18,200,37,47,12,19,101,21,27,16,412,26,86,8,24,15,16,33,295,47,94,72,18,20171128
13,94,1,42,377,10,57,31,171,20,41,13,25,86,27,16,20,414,34,51,10,26,15,15,20,322,40,123,71,11,20171129
12,90,4,54,400,2,56,32,194,23,38,14,18,98,32,17,14,432,22,52,9,26,18,17,21,332,43,125,73,6,20171130
46,102,6,47,375,3,43,11,185,21,39,5,17,92,37,25,9,406,26,37,10,21,15,15,25,333,45,135,90,13,20171201
44,92,11,54,406,13,38,3,170,36,43,8,17,103,23,23,9,418,36,63,11,29,19,20,21,351,27,122,100,22,20171202
45,88,3,64,446,None,44,29,166,64,34,4,15,116,21,24,5,441,21,54,8,29,26,23,31,365,29,116,95,16,20171203
23,80,9,44,472,12,53,32,191,32,37,15,22,119,19,20,9,469,24,53,9,28,17,27,19,327,42,98,96,26,20171204
57,84,4,57,419,9,55,23,141,33,37,15,25,136,19,32,9,498,24,53,9,19,12,16,20,333,63,109,84,17,20171205
39,74,5,36,449,13,58,33,190,44,37,20,21,128,18,23,10,446,36,71,9,20,17,19,26,305,27,91,92,16,20171206
24,94,4,42,452,None,54,28,183,30,31,17,23,124,20,18,7,457,36,56,9,18,9,33,20,326,40,91,66,16,20171207
46,101,2,55,418,2,54,6,169,58,42,5,20,124,15,22,4,451,27,46,8,16,15,22,20,338,29,109,92,21,20171208
48,118,2,55,379,9,61,39,179,29,22,9,20,144,23,21,9,475,18,83,7,13,16,23,21,358,52,95,66,13,20171209
35,114,2,66,482,3,47,29,163,58,27,10,15,127,19,16,6,480,22,59,7,15,13,29,23,406,34,106,86,16,20171210
53,68,5,50,453,15,64,37,164,40,27,19,27,161,29,28,7,485,14,84,8,11,16,34,24,357,34,94,86,20,20171211
38,120,3,51,472,2,58,30,173,37,33,7,19,196,23,27,9,485,37,45,6,12,17,28,20,384,47,99,84,17,20171212
20,86,4,47,458,10,46,86,147,41,40,11,12,153,21,24,7,455,25,42,17,14,17,19,25,422,57,74,80,25,20171213
36,95,None,27,496,3,46,45,162,14,22,9,21,135,21,29,3,431,30,50,11,15,9,13,9,384,42,105,79,16,20171214
87,113,1,36,468,2,52,35,164,20,21,12,19,130,27,28,2,421,19,39,9,15,17,21,14,400,43,97,69,17,20171215
80,81,4,44,552,14,60,21,173,27,37,11,23,123,21,34,1,430,15,66,18,10,14,15,24,357,39,92,72,17,20171216
24,77,2,43,568,3,49,43,171,38,21,11,16,104,32,37,4,445,32,51,19,14,14,29,32,375,51,91,67,15,20171217
67,87,3,36,559,9,46,33,160,35,18,13,29,144,23,37,9,453,20,55,20,14,25,20,22,406,34,73,87,16,20171218
35,89,5,45,554,2,56,76,156,30,29,12,18,165,26,30,2,454,21,63,21,9,20,24,23,409,55,77,88,12,20171219
30,78,3,36,626,6,49,70,171,36,24,15,27,149,22,13,1,456,24,66,19,14,14,23,26,386,27,87,80,12,20171220
27,78,2,28,570,None,31,75,142,19,21,12,17,142,25,18,1,477,26,55,12,9,12,23,14,401,35,56,91,15,20171221
78,86,5,50,607,2,39,17,161,27,20,7,16,114,24,26,1,418,23,66,11,14,12,22,26,365,31,73,72,14,20171222
84,88,2,48,540,8,50,46,137,24,24,10,22,165,27,17,2,419,13,54,21,10,21,16,27,385,34,56,62,18,20171223
55,89,3,37,631,None,56,110,150,56,42,8,20,134,21,10,7,401,9,60,13,5,18,16,29,323,29,67,76,15,20171224
37,106,4,34,615,5,45,53,146,37,37,21,24,179,22,18,6,482,17,68,9,7,19,15,26,349,39,60,104,15,20171225
69,75,4,42,658,None,38,44,147,34,26,9,21,164,16,17,5,455,18,50,14,6,19,14,25,326,27,72,83,13,20171226
68,116,4,25,618,7,31,41,159,40,28,8,22,125,17,27,None,468,22,40,16,7,15,11,17,313,26,66,73,9,20171227
40,67,5,34,650,1,29,66,158,28,44,10,17,154,18,21,3,483,18,37,12,5,21,15,22,266,35,79,82,9,20171228
60,66,4,23,589,None,21,4,140,28,32,6,22,126,19,20,3,456,13,46,10,10,8,13,29,324,32,58,67,12,20171229
61,101,3,37,602,10,33,56,160,22,14,14,31,108,19,14,None,419,14,40,11,10,16,14,19,285,37,42,78,16,20171230
91,81,4,44,636,1,33,40,140,54,27,16,22,146,10,18,1,354,14,43,11,7,19,13,24,276,30,60,61,6,20171231
40,75,4,35,695,2,38,65,171,34,28,15,21,122,15,28,1,322,15,48,12,7,11,17,32,279,26,50,66,14,20180101
33,122,8,47,560,None,30,100,128,32,24,15,21,135,24,26,1,374,12,39,11,3,9,14,24,298,31,42,83,20,20180102
41,93,4,39,479,5,21,36,117,31,16,13,23,135,18,22,2,351,14,35,15,8,17,16,27,312,18,51,70,13,20180103
32,131,1,43,491,1,26,72,102,13,19,10,18,171,28,29,1,376,23,36,15,3,15,14,19,289,25,27,67,10,20180104
50,91,3,51,624,2,39,23,106,24,36,9,21,126,17,28,2,352,11,40,17,3,13,11,21,306,23,47,93,17,20180105
51,100,3,43,598,5,21,61,128,58,32,12,19,114,21,22,1,322,18,61,18,4,23,10,22,284,25,39,78,19,20180106
57,74,1,58,638,3,25,63,122,37,23,11,36,146,17,20,1,329,12,48,19,1,23,14,28,232,20,44,69,13,20180107
41,62,1,20,593,1,25,66,104,28,28,14,37,132,16,27,None,355,14,48,13,3,13,16,13,276,19,34,84,16,20180108
29,77,3,41,625,1,27,62,115,29,34,10,35,107,18,14,2,349,11,59,13,2,11,18,15,259,31,29,84,19,20180109
20,89,None,30,556,2,24,82,109,29,25,9,28,134,15,20,2,375,13,56,12,8,24,17,21,262,14,32,68,8,20180110
25,76,None,44,570,None,26,76,140,19,15,21,27,128,23,11,None,310,11,54,8,11,12,8,10,233,15,21,86,9,20180111
63,84,3,42,517,2,23,51,130,28,18,8,31,124,30,20,None,328,10,53,11,8,13,13,19,254,12,48,90,13,20180112
67,85,2,37,590,10,15,22,129,61,33,11,27,142,29,25,1,320,9,70,11,9,13,16,22,232,26,33,74,8,20180113
36,109,1,52,575,2,13,43,123,32,25,6,13,142,21,21,2,272,11,62,13,7,17,16,28,259,24,29,85,19,20180114
58,79,1,44,558,2,19,66,155,23,27,12,32,153,23,19,1,320,17,57,15,7,21,16,18,222,15,35,93,19,20180115
37,117,3,28,536,3,17,85,121,21,21,12,24,148,17,15,1,333,10,47,9,8,19,15,25,213,31,34,81,18,20180116
23,105,None,27,516,6,29,63,133,26,27,13,27,146,14,23,1,310,9,49,10,8,13,9,17,236,20,25,79,10,20180117
22,107,4,25,503,1,17,78,115,15,27,11,41,148,22,13,None,314,8,40,10,7,27,14,14,253,25,39,83,13,20180118
47,98,None,27,578,4,23,24,142,19,16,11,32,140,20,17,None,310,17,35,8,2,22,8,17,233,25,41,63,6,20180119
49,101,None,38,591,7,30,43,155,55,32,15,16,113,24,31,2,321,8,64,9,7,16,18,23,240,25,35,75,8,20180120
17,77,3,39,595,1,23,64,137,40,27,12,16,115,20,24,None,303,12,54,8,3,29,10,25,224,26,37,69,18,20180121
19,64,3,24,563,4,23,49,138,27,21,12,28,106,14,21,None,260,10,51,11,4,22,13,19,200,14,39,71,10,20180122
22,53,5,32,501,2,15,35,111,13,17,7,15,102,12,23,None,256,11,42,11,2,14,5,18,207,18,37,74,13,20180123
22,75,None,21,489,9,27,29,117,23,21,4,27,102,17,13,None,312,10,40,10,6,15,12,18,209,19,32,48,19,20180124
16,63,2,34,445,1,31,34,113,19,19,9,27,116,14,28,None,266,11,56,8,4,13,11,16,179,12,30,74,16,20180125
35,95,None,31,476,1,25,31,107,25,18,7,22,98,21,27,None,279,10,62,12,3,9,7,13,232,10,22,72,11,20180126
23,40,None,28,486,13,13,8,97,54,19,15,24,113,15,20,None,267,8,72,13,4,19,7,23,191,21,33,48,13,20180127
21,43,2,37,405,1,16,28,89,19,13,2,10,88,22,23,None,239,8,43,12,5,13,4,20,172,11,33,35,6,20180128
14,38,2,30,411,1,24,32,116,36,19,13,20,72,16,26,None,265,2,60,12,4,18,9,19,206,10,34,75,16,20180129
8,40,None,43,475,2,22,29,125,37,23,8,13,79,14,17,None,236,2,75,10,6,19,11,19,190,28,30,44,13,20180130
17,56,5,28,457,13,20,34,105,40,15,10,14,76,10,12,None,234,8,58,11,9,14,12,11,179,9,26,59,11,20180131
12,69,None,25,340,None,26,28,140,16,13,8,24,101,17,21,None,260,16,56,12,7,19,12,20,195,13,28,45,13,20180201
14,57,2,33,442,2,18,5,131,30,19,11,9,75,17,24,None,226,5,45,8,5,13,9,10,197,23,39,74,12,20180202
30,46,2,48,379,12,13,19,114,73,22,11,14,87,18,27,None,255,5,72,8,6,9,8,23,216,20,14,50,16,20180203
30,48,6,50,392,2,12,32,131,55,20,7,14,122,16,18,None,245,9,64,12,10,16,10,15,176,19,25,53,20,20180204
24,47,1,33,419,2,16,29,155,43,22,13,21,83,17,14,None,276,8,66,13,9,15,9,12,185,10,28,65,19,20180205
12,63,2,50,421,7,15,28,128,36,19,13,22,71,17,14,None,247,6,70,10,6,27,15,30,180,19,24,59,6,20180206
22,48,2,29,332,7,15,17,84,41,33,8,16,89,20,18,None,322,9,74,11,3,14,8,20,192,13,35,46,12,20180207
16,47,1,39,367,2,19,17,108,16,13,10,12,107,23,16,None,266,8,68,8,3,14,12,10,162,21,14,59,9,20180208
10,54,3,19,373,1,32,24,102,34,17,8,11,91,18,16,None,257,14,63,9,4,20,7,14,187,6,25,62,12,20180209
18,24,None,30,340,14,22,2,112,57,25,12,9,68,17,13,None,247,8,73,15,6,13,9,24,206,21,24,50,7,20180210
24,48,None,23,311,5,21,15,98,60,19,6,7,76,20,22,None,238,9,69,8,7,11,8,17,189,10,24,41,18,20180211
25,39,1,22,332,8,8,19,111,29,11,11,19,89,21,18,None,245,15,96,9,8,6,7,19,195,15,21,55,16,20180212
11,45,2,39,337,9,21,25,100,43,10,6,7,81,20,21,None,249,11,73,7,4,10,6,20,211,21,33,45,12,20180213
17,52,None,17,320,None,30,28,92,15,15,8,13,64,20,16,None,225,7,38,5,8,18,7,12,188,26,19,44,9,20180214
7,53,3,21,285,1,18,22,46,11,17,7,7,82,20,9,None,184,8,20,4,6,9,6,8,148,10,15,27,10,20180215
14,37,None,10,329,1,32,13,42,6,3,2,1,45,30,9,None,144,8,8,4,2,7,7,3,153,8,21,23,5,20180216
15,26,None,15,347,None,14,26,92,5,13,6,3,57,18,12,None,173,5,48,3,6,9,6,13,177,16,29,51,9,20180217
33,38,1,8,318,3,21,3,93,14,17,9,11,95,15,10,None,216,8,39,5,11,6,13,12,192,24,22,46,9,20180218
12,48,2,10,310,2,25,26,120,3,19,7,10,95,9,16,None,185,2,71,2,7,10,11,24,196,12,23,41,10,20180219
10,45,4,13,322,12,29,12,88,27,16,10,15,82,24,18,None,195,8,57,7,12,6,5,12,203,32,28,56,13,20180220
18,57,5,21,279,12,39,21,93,29,17,4,9,71,22,19,None,183,7,79,4,6,15,7,16,206,25,30,61,16,20180221
11,59,6,20,269,1,32,18,113,19,16,22,16,75,19,9,None,197,18,84,2,6,32,12,10,198,17,44,54,20,20180222
28,49,1,30,304,5,31,3,125,34,30,5,18,50,23,14,None,200,21,88,1,9,19,7,26,183,29,36,54,23,20180223
8,34,3,27,240,12,31,17,105,68,14,7,19,101,17,13,1,207,9,48,3,7,12,10,14,174,24,39,58,8,20180224
26,39,4,23,248,3,35,15,93,52,18,7,13,91,20,13,2,228,22,79,5,11,17,9,24,188,30,36,65,21,20180225
12,36,6,18,260,5,35,11,117,43,17,11,23,60,16,16,None,221,15,83,5,14,24,11,22,185,23,33,63,17,20180226
10,28,8,31,239,10,24,18,102,43,26,14,29,82,23,17,None,196,13,67,3,14,18,17,17,199,25,28,64,20,20180227
14,42,1,11,219,18,26,22,89,56,13,21,29,71,15,7,None,159,16,60,5,10,18,16,15,199,21,38,63,13,20180228
11,26,5,30,212,None,30,18,93,28,22,19,22,81,15,7,2,213,17,66,1,14,19,9,14,207,23,27,55,14,20180301
12,41,6,13,181,1,32,1,75,29,23,13,13,72,9,13,None,150,12,40,1,11,25,14,16,195,28,47,48,16,20180302
18,31,4,23,226,17,24,14,104,79,15,8,11,71,11,21,1,162,22,62,None,11,16,9,21,217,13,31,51,17,20180303
